part_order,part_slug,part_title,visual_id,visual_title,visual_page_url,visual_download_url,visual_license,alt_text
11,w11-replicated-kv-23-nodes,Replicated KV (2–3 Nodes),primary-backup,Primary-backup replication protocol,https://commons.wikimedia.org/wiki/File:Primary-backup-protocol.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Primary-backup-protocol.gif,See file page (Wikimedia Commons),Primary sends updates to backup and acknowledges to client.
12,w12-leader-election-client-idempotency,Leader Election + Client Idempotency,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat."
13,w13-content-addressed-storage,Content-Addressed Storage,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.
14,w14-merkle-trees-inclusion-proofs,Merkle Trees & Inclusion Proofs,merkle-tree,Merkle tree (ZFS example),https://commons.wikimedia.org/wiki/File:ZFS_Merkle_Tree_2.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ZFS_Merkle_Tree_2.svg,See file page (Wikimedia Commons),Merkle tree of blocks with hashes up to a root hash.
15,w15-transparency-log,Transparency Log,merkle-tree,Merkle tree (ZFS example),https://commons.wikimedia.org/wiki/File:ZFS_Merkle_Tree_2.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ZFS_Merkle_Tree_2.svg,See file page (Wikimedia Commons),Merkle tree of blocks with hashes up to a root hash.
16,w16-monitoring-anti-equivocation,Monitoring & Anti-Equivocation,threat-model,System threat model overview,https://commons.wikimedia.org/wiki/File:System_threat_model.svg,https://commons.wikimedia.org/wiki/Special:FilePath/System_threat_model.svg,See file page (Wikimedia Commons),"Diagram connecting threats, vulnerabilities, exploits, controls, and assets."
17,w17-issue-signed-civic-documents,Issue Signed Civic Documents,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.
18,w18-transparency-log-anchoring,Transparency Log Anchoring,merkle-tree,Merkle tree (ZFS example),https://commons.wikimedia.org/wiki/File:ZFS_Merkle_Tree_2.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ZFS_Merkle_Tree_2.svg,See file page (Wikimedia Commons),Merkle tree of blocks with hashes up to a root hash.
19,w19-offline-verification-package,Offline Verification Package,custom-offline-bundle,Custom: offline verification bundle,,,You create this (recommended),"Package contains document, signature, proofs, and log checkpoint for offline verify."
20,w20-failure-survival-hardening,Failure Survival Hardening,custom-hardening,Custom: failure-mode matrix / blast radius,,,You create this (recommended),Grid of failure types vs mitigations; shows blast radius and recovery steps.
21,w21-reliability-slo-story,Reliability / SLO Story,custom-slo,Custom: SLO / error budget burn-down,,,You create this (recommended),Error budget decreases with bad events; burn rate indicates urgency.
22,w22-security-threat-model-story,Security / Threat Model Story,threat-model,System threat model overview,https://commons.wikimedia.org/wiki/File:System_threat_model.svg,https://commons.wikimedia.org/wiki/Special:FilePath/System_threat_model.svg,See file page (Wikimedia Commons),"Diagram connecting threats, vulnerabilities, exploits, controls, and assets."
23,w23-docs-demos-interview-narratives,"Docs, Demos & Interview Narratives",flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat."
24,w24-final-interview-prep-publication,Final Interview Prep & Publication,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat."
