lesson_id,lesson_title,part_slug,part_title,lesson_order,visual_id,visual_title,visual_page_url,visual_download_url,visual_license,alt_text,note
w03-multi-client-event-loop-d01-quest-event-loop-state-model-2h,Quest: Event Loop State Model  2h,w03-multi-client-event-loop,Multi-Client Event Loop,1,fd-file-inode-table,File descriptors → file table → inode table,https://commons.wikimedia.org/wiki/File:File_table_and_inode_table.svg,https://commons.wikimedia.org/wiki/Special:FilePath/File_table_and_inode_table.svg,See file page (Wikimedia Commons),Unix diagram mapping file descriptors to file table entries and inodes.,Wikimedia Commons
w03-multi-client-event-loop-d02-quest-first-multi-client-loop-2h,Quest: First Multi-Client Loop  2h,w03-multi-client-event-loop,Multi-Client Event Loop,2,fd-file-inode-table,File descriptors → file table → inode table,https://commons.wikimedia.org/wiki/File:File_table_and_inode_table.svg,https://commons.wikimedia.org/wiki/Special:FilePath/File_table_and_inode_table.svg,See file page (Wikimedia Commons),Unix diagram mapping file descriptors to file table entries and inodes.,Wikimedia Commons
w03-multi-client-event-loop-d03-quest-backpressure-policy-2h,Quest: Backpressure Policy  2h,w03-multi-client-event-loop,Multi-Client Event Loop,3,fd-file-inode-table,File descriptors → file table → inode table,https://commons.wikimedia.org/wiki/File:File_table_and_inode_table.svg,https://commons.wikimedia.org/wiki/Special:FilePath/File_table_and_inode_table.svg,See file page (Wikimedia Commons),Unix diagram mapping file descriptors to file table entries and inodes.,Wikimedia Commons
w03-multi-client-event-loop-d04-quest-poll-migration-2h,Quest: Poll Migration  2h,w03-multi-client-event-loop,Multi-Client Event Loop,4,fd-file-inode-table,File descriptors → file table → inode table,https://commons.wikimedia.org/wiki/File:File_table_and_inode_table.svg,https://commons.wikimedia.org/wiki/Special:FilePath/File_table_and_inode_table.svg,See file page (Wikimedia Commons),Unix diagram mapping file descriptors to file table entries and inodes.,Wikimedia Commons
w03-multi-client-event-loop-d05-quest-connection-lifecycle-tests-2h,Quest: Connection Lifecycle Tests  2h,w03-multi-client-event-loop,Multi-Client Event Loop,5,fd-file-inode-table,File descriptors → file table → inode table,https://commons.wikimedia.org/wiki/File:File_table_and_inode_table.svg,https://commons.wikimedia.org/wiki/Special:FilePath/File_table_and_inode_table.svg,See file page (Wikimedia Commons),Unix diagram mapping file descriptors to file table entries and inodes.,Wikimedia Commons
w04-epoll-http-client-d01-quest-epoll-strategy-2h,Quest: Epoll Strategy  2h,w04-epoll-http-client,Epoll & HTTP Client,1,http-transaction,Simplified HTTP transaction,https://commons.wikimedia.org/wiki/File:Simplified_diagram_of_an_HTTP_transaction.png,https://commons.wikimedia.org/wiki/Special:FilePath/Simplified_diagram_of_an_HTTP_transaction.png,CC BY-SA 4.0,Client sends HTTP request to server and receives response.,Wikimedia Commons
w04-epoll-http-client-d02-quest-timer-design-2h,Quest: Timer Design  2h,w04-epoll-http-client,Epoll & HTTP Client,2,http-transaction,Simplified HTTP transaction,https://commons.wikimedia.org/wiki/File:Simplified_diagram_of_an_HTTP_transaction.png,https://commons.wikimedia.org/wiki/Special:FilePath/Simplified_diagram_of_an_HTTP_transaction.png,CC BY-SA 4.0,Client sends HTTP request to server and receives response.,Wikimedia Commons
w04-epoll-http-client-d03-quest-http-parser-spec-2h,Quest: HTTP Parser Spec  2h,w04-epoll-http-client,Epoll & HTTP Client,3,http-transaction,Simplified HTTP transaction,https://commons.wikimedia.org/wiki/File:Simplified_diagram_of_an_HTTP_transaction.png,https://commons.wikimedia.org/wiki/Special:FilePath/Simplified_diagram_of_an_HTTP_transaction.png,CC BY-SA 4.0,Client sends HTTP request to server and receives response.,Wikimedia Commons
w04-epoll-http-client-d04-quest-http-timeout-matrix-2h,Quest: HTTP Timeout Matrix  2h,w04-epoll-http-client,Epoll & HTTP Client,4,http-transaction,Simplified HTTP transaction,https://commons.wikimedia.org/wiki/File:Simplified_diagram_of_an_HTTP_transaction.png,https://commons.wikimedia.org/wiki/Special:FilePath/Simplified_diagram_of_an_HTTP_transaction.png,CC BY-SA 4.0,Client sends HTTP request to server and receives response.,Wikimedia Commons
w04-epoll-http-client-d05-quest-end-to-end-trace-2h,Quest: End-to-End Trace  2h,w04-epoll-http-client,Epoll & HTTP Client,5,http-transaction,Simplified HTTP transaction,https://commons.wikimedia.org/wiki/File:Simplified_diagram_of_an_HTTP_transaction.png,https://commons.wikimedia.org/wiki/Special:FilePath/Simplified_diagram_of_an_HTTP_transaction.png,CC BY-SA 4.0,Client sends HTTP request to server and receives response.,Wikimedia Commons
w05-thread-pool-safe-task-execution-d01-quest-concurrency-model-2h,Quest: Concurrency Model  2h,w05-thread-pool-safe-task-execution,Thread Pool & Safe Task Execution,1,thread-pool,Thread pool with task queue,https://commons.wikimedia.org/wiki/File:Thread_pool.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Thread_pool.svg,CC BY-SA 3.0 or GFDL (dual-licensed),A thread pool where tasks queue up and threads execute tasks.,Wikimedia Commons
w05-thread-pool-safe-task-execution-d02-quest-bounded-work-queue-2h,Quest: Bounded Work Queue  2h,w05-thread-pool-safe-task-execution,Thread Pool & Safe Task Execution,2,thread-pool,Thread pool with task queue,https://commons.wikimedia.org/wiki/File:Thread_pool.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Thread_pool.svg,CC BY-SA 3.0 or GFDL (dual-licensed),A thread pool where tasks queue up and threads execute tasks.,Wikimedia Commons
w05-thread-pool-safe-task-execution-d03-quest-scheduling-policy-2h,Quest: Scheduling Policy  2h,w05-thread-pool-safe-task-execution,Thread Pool & Safe Task Execution,3,thread-pool,Thread pool with task queue,https://commons.wikimedia.org/wiki/File:Thread_pool.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Thread_pool.svg,CC BY-SA 3.0 or GFDL (dual-licensed),A thread pool where tasks queue up and threads execute tasks.,Wikimedia Commons
w05-thread-pool-safe-task-execution-d04-quest-contention-metrics-2h,Quest: Contention Metrics  2h,w05-thread-pool-safe-task-execution,Thread Pool & Safe Task Execution,4,thread-pool,Thread pool with task queue,https://commons.wikimedia.org/wiki/File:Thread_pool.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Thread_pool.svg,CC BY-SA 3.0 or GFDL (dual-licensed),A thread pool where tasks queue up and threads execute tasks.,Wikimedia Commons
w05-thread-pool-safe-task-execution-d05-quest-graceful-shutdown-2h,Quest: Graceful Shutdown  2h,w05-thread-pool-safe-task-execution,Thread Pool & Safe Task Execution,5,thread-pool,Thread pool with task queue,https://commons.wikimedia.org/wiki/File:Thread_pool.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Thread_pool.svg,CC BY-SA 3.0 or GFDL (dual-licensed),A thread pool where tasks queue up and threads execute tasks.,Wikimedia Commons
w06-backpressure-overload-handling-d01-quest-overload-policy-ladder-2h,Quest: Overload Policy Ladder  2h,w06-backpressure-overload-handling,Backpressure & Overload Handling,1,token-bucket,Token bucket (QoS policing),https://commons.wikimedia.org/wiki/File:QoS_tocken_bucket.svg,https://commons.wikimedia.org/wiki/Special:FilePath/QoS_tocken_bucket.svg,See file page (Wikimedia Commons),Token bucket with tokens arriving and packets passing when enough tokens exist.,Wikimedia Commons
w06-backpressure-overload-handling-d02-quest-slow-client-defense-2h,Quest: Slow-Client Defense  2h,w06-backpressure-overload-handling,Backpressure & Overload Handling,2,token-bucket,Token bucket (QoS policing),https://commons.wikimedia.org/wiki/File:QoS_tocken_bucket.svg,https://commons.wikimedia.org/wiki/Special:FilePath/QoS_tocken_bucket.svg,See file page (Wikimedia Commons),Token bucket with tokens arriving and packets passing when enough tokens exist.,Wikimedia Commons
w06-backpressure-overload-handling-d03-quest-egress-throttle-2h,Quest: Egress Throttle  2h,w06-backpressure-overload-handling,Backpressure & Overload Handling,3,token-bucket,Token bucket (QoS policing),https://commons.wikimedia.org/wiki/File:QoS_tocken_bucket.svg,https://commons.wikimedia.org/wiki/Special:FilePath/QoS_tocken_bucket.svg,See file page (Wikimedia Commons),Token bucket with tokens arriving and packets passing when enough tokens exist.,Wikimedia Commons
w06-backpressure-overload-handling-d04-quest-deadline-budget-2h,Quest: Deadline Budget  2h,w06-backpressure-overload-handling,Backpressure & Overload Handling,4,token-bucket,Token bucket (QoS policing),https://commons.wikimedia.org/wiki/File:QoS_tocken_bucket.svg,https://commons.wikimedia.org/wiki/Special:FilePath/QoS_tocken_bucket.svg,See file page (Wikimedia Commons),Token bucket with tokens arriving and packets passing when enough tokens exist.,Wikimedia Commons
w06-backpressure-overload-handling-d05-quest-failure-injection-matrix-2h,Quest: Failure Injection Matrix  2h,w06-backpressure-overload-handling,Backpressure & Overload Handling,5,token-bucket,Token bucket (QoS policing),https://commons.wikimedia.org/wiki/File:QoS_tocken_bucket.svg,https://commons.wikimedia.org/wiki/Special:FilePath/QoS_tocken_bucket.svg,See file page (Wikimedia Commons),Token bucket with tokens arriving and packets passing when enough tokens exist.,Wikimedia Commons
w07-hashing-integrity-proofs-d01-quest-hash-use-cases-2h,Quest: Hash Use Cases  2h,w07-hashing-integrity-proofs,Hashing & Integrity Proofs,1,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w07-hashing-integrity-proofs-d02-quest-streaming-hash-plan-2h,Quest: Streaming Hash Plan  2h,w07-hashing-integrity-proofs,Hashing & Integrity Proofs,2,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w07-hashing-integrity-proofs-d03-quest-protocol-hash-envelope-2h,Quest: Protocol Hash Envelope  2h,w07-hashing-integrity-proofs,Hashing & Integrity Proofs,3,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w07-hashing-integrity-proofs-d04-quest-canonicalization-rules-2h,Quest: Canonicalization Rules  2h,w07-hashing-integrity-proofs,Hashing & Integrity Proofs,4,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w07-hashing-integrity-proofs-d05-quest-integrity-audit-drill-2h,Quest: Integrity Audit Drill  2h,w07-hashing-integrity-proofs,Hashing & Integrity Proofs,5,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w08-signatures-replay-protection-d01-quest-key-policy-2h,Quest: Key Policy  2h,w08-signatures-replay-protection,Signatures & Replay Protection,1,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.,Wikimedia Commons
w08-signatures-replay-protection-d02-quest-signverify-spec-2h,Quest: Sign/Verify Spec  2h,w08-signatures-replay-protection,Signatures & Replay Protection,2,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.,Wikimedia Commons
w08-signatures-replay-protection-d03-quest-replay-defense-2h,Quest: Replay Defense  2h,w08-signatures-replay-protection,Signatures & Replay Protection,3,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.,Wikimedia Commons
w08-signatures-replay-protection-d04-quest-signed-envelope-v1-2h,Quest: Signed Envelope v1  2h,w08-signatures-replay-protection,Signatures & Replay Protection,4,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.,Wikimedia Commons
w08-signatures-replay-protection-d05-quest-verify-performance-2h,Quest: Verify Performance  2h,w08-signatures-replay-protection,Signatures & Replay Protection,5,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.,Wikimedia Commons
w09-kv-store-core-state-model-d01-quest-kv-command-spec-2h,Quest: KV Command Spec  2h,w09-kv-store-core-state-model,KV Store Core & State Model,1,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w09-kv-store-core-state-model-d02-quest-versioning-rules-2h,Quest: Versioning Rules  2h,w09-kv-store-core-state-model,KV Store Core & State Model,2,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w09-kv-store-core-state-model-d03-quest-serialization-format-2h,Quest: Serialization Format  2h,w09-kv-store-core-state-model,KV Store Core & State Model,3,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w09-kv-store-core-state-model-d04-quest-snapshot-rules-2h,Quest: Snapshot Rules  2h,w09-kv-store-core-state-model,KV Store Core & State Model,4,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w09-kv-store-core-state-model-d05-quest-kv-concurrency-policy-2h,Quest: KV Concurrency Policy  2h,w09-kv-store-core-state-model,KV Store Core & State Model,5,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w10-wal-durability-crash-recovery-d01-quest-wal-schema-2h,Quest: WAL Schema  2h,w10-wal-durability-crash-recovery,WAL Durability & Crash Recovery,1,custom-wal,Custom: write-ahead log + checkpoint,,,You create this (recommended),Append log before applying state; checkpoint to compact; recover by replay.,Custom (Mermaid/Draw.io)
w10-wal-durability-crash-recovery-d02-quest-fsync-policy-2h,Quest: Fsync Policy  2h,w10-wal-durability-crash-recovery,WAL Durability & Crash Recovery,2,custom-wal,Custom: write-ahead log + checkpoint,,,You create this (recommended),Append log before applying state; checkpoint to compact; recover by replay.,Custom (Mermaid/Draw.io)
w10-wal-durability-crash-recovery-d03-quest-crash-drill-procedure-2h,Quest: Crash Drill Procedure  2h,w10-wal-durability-crash-recovery,WAL Durability & Crash Recovery,3,custom-wal,Custom: write-ahead log + checkpoint,,,You create this (recommended),Append log before applying state; checkpoint to compact; recover by replay.,Custom (Mermaid/Draw.io)
w10-wal-durability-crash-recovery-d04-quest-recovery-algorithm-2h,Quest: Recovery Algorithm  2h,w10-wal-durability-crash-recovery,WAL Durability & Crash Recovery,4,custom-wal,Custom: write-ahead log + checkpoint,,,You create this (recommended),Append log before applying state; checkpoint to compact; recover by replay.,Custom (Mermaid/Draw.io)
w10-wal-durability-crash-recovery-d05-quest-checkpoint-compaction-2h,Quest: Checkpoint & Compaction  2h,w10-wal-durability-crash-recovery,WAL Durability & Crash Recovery,5,custom-wal,Custom: write-ahead log + checkpoint,,,You create this (recommended),Append log before applying state; checkpoint to compact; recover by replay.,Custom (Mermaid/Draw.io)
w11-replicated-kv-23-nodes-d01-quest-failure-model-2h,Quest: Failure Model  2h,w11-replicated-kv-23-nodes,Replicated KV (2–3 Nodes),1,primary-backup,Primary-backup replication protocol,https://commons.wikimedia.org/wiki/File:Primary-backup-protocol.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Primary-backup-protocol.gif,See file page (Wikimedia Commons),Primary sends updates to backup and acknowledges to client.,Wikimedia Commons
w11-replicated-kv-23-nodes-d02-quest-append-rpc-spec-2h,Quest: Append RPC Spec  2h,w11-replicated-kv-23-nodes,Replicated KV (2–3 Nodes),2,primary-backup,Primary-backup replication protocol,https://commons.wikimedia.org/wiki/File:Primary-backup-protocol.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Primary-backup-protocol.gif,See file page (Wikimedia Commons),Primary sends updates to backup and acknowledges to client.,Wikimedia Commons
w11-replicated-kv-23-nodes-d03-quest-quorum-commit-rules-2h,Quest: Quorum Commit Rules  2h,w11-replicated-kv-23-nodes,Replicated KV (2–3 Nodes),3,primary-backup,Primary-backup replication protocol,https://commons.wikimedia.org/wiki/File:Primary-backup-protocol.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Primary-backup-protocol.gif,See file page (Wikimedia Commons),Primary sends updates to backup and acknowledges to client.,Wikimedia Commons
w11-replicated-kv-23-nodes-d04-quest-follower-catch-up-2h,Quest: Follower Catch-Up  2h,w11-replicated-kv-23-nodes,Replicated KV (2–3 Nodes),4,primary-backup,Primary-backup replication protocol,https://commons.wikimedia.org/wiki/File:Primary-backup-protocol.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Primary-backup-protocol.gif,See file page (Wikimedia Commons),Primary sends updates to backup and acknowledges to client.,Wikimedia Commons
w11-replicated-kv-23-nodes-d05-quest-partition-policy-2h,Quest: Partition Policy  2h,w11-replicated-kv-23-nodes,Replicated KV (2–3 Nodes),5,primary-backup,Primary-backup replication protocol,https://commons.wikimedia.org/wiki/File:Primary-backup-protocol.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Primary-backup-protocol.gif,See file page (Wikimedia Commons),Primary sends updates to backup and acknowledges to client.,Wikimedia Commons
w12-leader-election-client-idempotency-d01-quest-election-timeouts-2h,Quest: Election Timeouts  2h,w12-leader-election-client-idempotency,Leader Election + Client Idempotency,1,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w12-leader-election-client-idempotency-d02-quest-vote-rules-2h,Quest: Vote Rules  2h,w12-leader-election-client-idempotency,Leader Election + Client Idempotency,2,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w12-leader-election-client-idempotency-d03-quest-client-retry-idempotency-2h,Quest: Client Retry + Idempotency  2h,w12-leader-election-client-idempotency,Leader Election + Client Idempotency,3,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w12-leader-election-client-idempotency-d04-quest-dedupe-store-rules-2h,Quest: Dedupe Store Rules  2h,w12-leader-election-client-idempotency,Leader Election + Client Idempotency,4,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w12-leader-election-client-idempotency-d05-quest-stale-leader-fencing-2h,Quest: Stale-Leader Fencing  2h,w12-leader-election-client-idempotency,Leader Election + Client Idempotency,5,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat.",Custom (Mermaid/Draw.io)
w13-content-addressed-storage-d01-cas-object-model,CAS Object Model,w13-content-addressed-storage,Content-Addressed Storage,1,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w13-content-addressed-storage-d02-cas-write-lifecycle,CAS Write Lifecycle,w13-content-addressed-storage,Content-Addressed Storage,2,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w13-content-addressed-storage-d03-chunk-manifest-spec,Chunk Manifest Spec,w13-content-addressed-storage,Content-Addressed Storage,3,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w13-content-addressed-storage-d04-cas-gc-policy,CAS GC Policy,w13-content-addressed-storage,Content-Addressed Storage,4,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w13-content-addressed-storage-d05-cas-audit-drill,CAS Audit Drill,w13-content-addressed-storage,Content-Addressed Storage,5,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.,Wikimedia Commons
w14-merkle-trees-inclusion-proofs-d01-merkle-construction-rules,Merkle Construction Rules,w14-merkle-trees-inclusion-proofs,Merkle Trees & Inclusion Proofs,1,merkle-tree,Merkle tree (ZFS example),https://commons.wikimedia.org/wiki/File:ZFS_Merkle_Tree_2.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ZFS_Merkle_Tree_2.svg,See file page (Wikimedia Commons),Merkle tree of blocks with hashes up to a root hash.,Wikimedia Commons
w14-merkle-trees-inclusion-proofs-d02-inclusion-proof-format,Inclusion Proof Format,w14-merkle-trees-inclusion-proofs,Merkle Trees & Inclusion Proofs,2,merkle-tree,Merkle tree (ZFS example),https://commons.wikimedia.org/wiki/File:ZFS_Merkle_Tree_2.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ZFS_Merkle_Tree_2.svg,See file page (Wikimedia Commons),Merkle tree of blocks with hashes up to a root hash.,Wikimedia Commons
